name,state,sector,ecosystem,sub_ecosystem,sub_ecosystem_sub_class,ceo_gender,ceo_name,website,email,phone,facebook,instagram,linkedin,twitter,address
Click Green Nigeria Limited,Edo,Manufacturing,MSMEs and Startups,Others,,,,www.cgnl.com.ng,info@cgnl.com.ng,7039549997,cgnlng,cgnlng,,,"No 3, Ekenwan Road, Benin City"
Zeemak GOD'SOWN Nigeria enterprises,Ogun,Creatives,MSMEs and Startups,Others,,,,Nil,Zeemakgod'sown@gmail.com,"08111743232, 07062185581",,,,,"2, Odoyanta road irewon, Irewon ijebu ode"
House 407 Fashion,Ogun,Agribusiness,MSMEs and Startups,Others,,,,https://house407ng.com,house407ng@gmail.com,7062027130,https://www.facebook.com/House407/,https://www.instagram.com/house407ng/,https://www.linkedin.com/in/temitope-aduke-oduleye-a4575940,,"23, Somolu street, onikoko, Adigbe road, Abeokuta"
Maik Preiz Integrated Services Limited,Edo,Creatives,MSMEs and Startups,Others,,,,non yet,sirmilky1@gmail.com,8062573468,Facebook.com/maikpreizintegratedservices,,,,"Opposite general hospital odogbolu, Abeokuta"
Oludele Adewale Photography,Ogun,Agribusiness,MSMEs and Startups,Others,,,,www.oludeleadewalephotography.business.site,oludeleadewalephotography@gmail.com,8064336459,@oludeleadewalephotography,@oludeleadewalephotography,,,"7, Alade Street, Ibafo"
Jodynastfarm,Ogun,Education,MSMEs and Startups,Others,,,,Jodynastworld,Seuninzion@gmail. Com,8062739882,,,,,"58, Odogbolu, Odogbolu"
EduPoint,Lagos,Creatives,MSMEs and Startups,Others,,,,https://edupoint.org.ng/,info@edupoint.org.ng,8177772980,https://www.facebook.com/EduPointLimited/,https://www.instagram.com/edupoint_limited/,https://www.linkedin.com/company/edupoint-limited/,https://twitter.com/EdupointLimited,"39C, Dr Ezekuse, Lekki Phase 1 Lagos"
Akingbade Olabode and company,Ogun,Agribusiness,MSMEs and Startups,Others,,,,https://akingbade-olabode-and-company.business.site/?utm_source=gmb&utm_medium=referral,akinbode470@gmail.com,7066303705,Bodeakin,Akingbadebode_co,,Akingbadebode_co,"466/468 Ikwerre road Rumuokwuta port Harcourt, Rivers State Nigeria"
Vendor Agribusiness Systems Ltd.,Ogun,Technology,MSMEs and Startups,Others,,,,www.vendoragro.com.ng,hello@vendoragro.com.ng,9019744110,www.facebook.com/vendoragro,@vendoragro_1,,,"32, Oba Akran Avenue, Ikeja, Lagos State"
Tech Gypsy,Rivers,Technology,MSMEs and Startups,Others,,,,Nil,info.techgypsy@gmail.com,7033043054,Tech Gypsy,Tech Gypsy,,,"Road 21, Rumuokwuta, Obio/Akpor, Port Harcourt"
Harzotech Nig Ltd,Lagos,Creatives,MSMEs and Startups,Others,,,,harzotech.com.ng,info@harzotech.com.ng,7069716822,facebook.com/harzotech,Harzotech_nig_ltd,Harzotech-nig-ltd,,"Road 9, opp owu baptist church, Totoro, Abeokuta"
Tripple C Production,Rivers,Creatives,MSMEs and Startups,Others,,,,Non yet,triple production a gmail.com,8035372428,Www.facebook.com/tripplecproduction,www.Instagram.com/tripplecpro,Not Yet,www.twitter.com/tripplecproduction,"Plot 6 Road, Joyce Plaza, Rumuagholu Pipeline"
Cilla Fashion House,Rivers,Manufacturing,MSMEs and Startups,Others,,,,Nil,Ekiyepriscillachinunwo@gmail.com,9091387942,@cillafashionhouse,@cillafashionhouse,www.LinkedIn.com/in/Priscilla-ekiye-,@cillafashionhuz,"Road 9, Akas Street, Rumuekini East-West Rd"
Beswith Creation,Rivers,Creatives,MSMEs and Startups,Others,,,,https://web.facebook.com/BeswithCreation/services/,creationbeswith@gmail.com,8038890031,https://web.facebook.com/BeswithCreation/services/,,,,"Nimc office old aba road, New layout, Oginigba"
Cilla Fashion House,Rivers,Agribusiness,MSMEs and Startups,Others,,,,Nil,Ekiyepriscillachinunwo@gmail.com,9091387942,@cillafashionhouse,@cillafashionhouse,www.LinkedIn.com/in/Priscilla-ekiye-,@cillafashionhuz,"PLOT 12, Akas Street, Rumuekini East-west Road"
Muels kitchen and catering services,Rivers,Health,MSMEs and Startups,Others,,,,https://wa.me/message/Y6LCN3GTMGBBK1,Muelskitchen@gmail.com,9056201559,Muels_kitchen catering services,@muels_kitchen,,,"219, Nimc office old Aba road, Port Harcourt, Rivers State."
PRISTINE EYE CARE LIMITED,Rivers,Manufacturing,MSMEs and Startups,Others,,,,www.pristineeyecare.com,pristineeyecare@gmail.com,8089442646,Facebook.com/pristineeyecarelimited,pristine_eyecare,Victoria Akwarandu Edeh,EyeCarePristine,"7, TIMOTHY LANE, RUMUOLA, OBIO AKPOR, Port Harcourt"
Nidom Global Services,Rivers,Technology,MSMEs and Startups,Others,,,,www.nidomglobal.com,nidomglobal@yahoo.com,8109864833,www.facebook.com/nidomglobal,Globalnidom,www.linkedin.com/nidomglobal,,"2, Aba Road, Obio/Akpor, Port Harcourt"
CITILITE MEDIA SOLUTIONS,Edo,Creatives,MSMEs and Startups,Others,,,,"www,citilitemedia.com.ng",admin@citilitemedia.com.ng,8132563896,facebook.com/citilitemedia,instagram.com/citilitemedia,,twitter.com/citilitemedia,"3, Erhunmwun Street, Ikpoba-Okha, Benin city"
Christopher Adolphus,Rivers,Creatives,MSMEs and Startups,Others,,,,Nil,minatemeimabibo@gmail.com,8119059861,https://www.facebook.com/christopheradolphusclothings/,Www.instagram.com/christopheradolphus_,,,"2, Bori, Borikiri, Port Harcourt"
RACELLE COCKTAILS,Rivers,Agribusiness,MSMEs and Startups,Others,,,,Nil,racellecocktails@gmail.com,7035220550,,,,,"AZ 18, Wodi, Obio/Akpor, Elelenwo"
Fourteen Network International Resources,Edo,Agribusiness,MSMEs and Startups,Others,,,,14ni.business.site,service.14ni@gmail.com,8068309491,https://www.facebook.com/bartholomewfelix.iyare,https://www.instagram.com/barthiyare/,https://www.linkedin.com/mwlite/in/bartholomew-iyare-b039b4108,https://mobile.twitter.com/BarthIyare1,"5, Ekhator  Street, Ovia North East, Ovia North East"
My Farm Resources,Kaduna,Manufacturing,MSMEs and Startups,Others,,,,None,myfarm.resource@gmail.com,8157929315,Facebook.com/myfarmresource,,,,"28, Damaturu road, Doka, Kaduna North"
Snobake Specialties Nigeria,Edo,Creatives,MSMEs and Startups,Others,,,,Snobake.com.ng,ezstino1@yahoo.com,8038628208,facebook.com/snobake Specialties,,,,"No. 5, S.S. SOKUNBI CASTLE, OPPOSITE OMO-ADE BLOCK INDUSTRY, Oredo, Benin City"
Kaul logistics and services(kLS),Lagos,Creatives,MSMEs and Startups,Others,,,,KLS_logistics& services,Kaullogistics@gmail.com,7030507817,KLS_logistics& services,,,,"21, Rd 3 Diamond estate, umuebelle, 34 onibore street surulere"
Mirage communication,Rivers,Creatives,MSMEs and Startups,Others,,,,https://www.facebook.com/Mirage-brands-1892274724149258/,Miragebrandscontact@gmail.com,8066355255,https://www.facebook.com/Mirage-brands-1892274724149258/,,,,"No 37, Gora street, Ungwan pama, sabon tasha, rumuibekwe housing estate"
Peter Dynamic Photography,Edo,Agribusiness,MSMEs and Startups,Others,,,,Peterdynamicphotgraphy.ng,Dynamicphotographyng@gmail.com,8134729688,Dynamic Photography,Dynamicphotography.ng,Peter Obue,,"5B, Obakhavbaye, Ring road"
Prudent Associates Agro-Industry,Lagos,Agribusiness,MSMEs and Startups,Others,,,,www.ufarmy.com,admin@ufarmy.com,2348162631110,www.facebook.com/prudentorganicfarms,www.instagram.com/prudentorganicfarms,https://www.linkedin.com/in/kafilat-adedeji-19aa74191,,"81, Fish Farm Estate"
ADAMS holdings,Lagos,Health,MSMEs and Startups,Others,,,,https://www.facebook.com/101113211241659/,adamsapeh@yahoo.com,8032024173,https://www.facebook.com/101113211241659/,,,,"111, Alajah Fausat street Ikotun Lagos"
Fibreats,Ogun,Creatives,MSMEs and Startups,Others,,,,www.fibreats.com,fibreatsng@gmail.com,2348105036456,www.facebook.com/fibreats,www.instagram.com/fibreats_ng,,www.twitter.com/fibreats,"13, OLUWO KEESI, FUNAAB ROAD, ALABATA, ABEOKUTA"
Thrive Shuttle Company,Ogun,Agribusiness,MSMEs and Startups,Others,,,,www.thriveshuttle.com,Thriveshuttlecompany@gmail.com,8062203453,https://www.facebook.com/oluwasegun.ayilara,,https://www.linkedin.com/in/oluwasegun-ayilara,,"21, Living Avenue, Abebi, Ado-Odo Ota"
Juice Clinic,Kaduna,Creatives,MSMEs and Startups,Others,,,,http://www.Facebook. com/juiceclinic,Juiceclinic028@gmail.com,8069135998,Facebook. Com/juiceclinic,@juiceclinic,,,"K9, Gora Street, Chikun, Kaduna"
ArtXplicit Conceptual,Ogun,Manufacturing,MSMEs and Startups,Others,,,,www.artxplicitconceptual.com,harmord.heetele@gmail.com,8036959912,www.facebook.com/Ahmed.adenekan,www.instagram.com/harmordreggie,,www.twitter.com/harmordreggie,"Abeokuta Street Adalemo Sango Ota, Ado-Odo/Ota"
Mighty Cut Integrated Company Limited,Rivers,Technology,MSMEs and Startups,Others,,,,http://www.mightycut.com,mightycutintegratedcmp@gmail.com,2348029497240,,www.Instagram.com/mighty_cutcmp,,,"Plot 38a, Mini Ewa road, Trans Amadi, Port Harcourt"
KING'S PORTION GLOBAL RESOURCES,Rivers,Agribusiness,MSMEs and Startups,Others,,,,www.king'sportionglobalresources.com,Kingportiongl@gmail.com,7011557310,@kingportionGobalResources,kingportionGobalResources,kingportionGobalResources,,"105, NKPOLU/RUMUIGBO, Port Harcourt"
Mavigas Enterprise,Rivers,Technology,MSMEs and Startups,Others,,,,www.mavigas.com.ng,info@mavigas.com.ng,9078149986,www.Facebook.com/mavigasbiz,mavigasbiz,,mavigasbiz,"Ogbunabali Raod, Port Harcourt"
Rivcycle,Rivers,Technology,MSMEs and Startups,Others,,,,www.rivcycle.com,rivcycle@gmail.com,2349023737609,Facebook.com/Rivcycle,,,,Agudama street Dline Port Harcourt
Dinspira Travels Nigeria LTD,Rivers,Education,MSMEs and Startups,Others,,,,www.dinspira.com,info@dinspira.com,8032551291,https://m.facebook.com/dinspiratravels/,https://www.instagram.com/dinspiratravels/,https://www.linkedin.com/mwlite/company/dinspira-travels,,"ALCON Road, Woji, Obio-Akpor"
Ehiwiny ventures,Edo,Technology,MSMEs and Startups,Others,,,,www.ehiwinyteachkids.org,Ehiwiny@gmail.com,8137115164,https://www.facebook.com/EhiwinyTeachKids,https://www.instagram.com/EhiwinyTeachKids,,,"Omoregbe street, Benin"
Flysix Solutions,Kaduna,Agribusiness,MSMEs and Startups,Others,,,,https://www.flysixsolutions.com,flysixsolutions@gmail.com,2347035316926,https://www.facebook.com/flysixsolutions,https://www.instagram.com/flysixsolutions,,,"Ahmadu Bello Way, Jos Road, Kaduna North"
Made-2-Shine Links and Services,Kaduna,Agribusiness,MSMEs and Startups,Others,,,,Made2shine,madetoshine001@gmail.com,8129832009,Made to Shine,Made2shinel.s,Made-2-Shine Links and Services,@made2shine001,"Eastern By Pass, Zaria and Kaduna"
DeConsole's Farm,Rivers,Technology,MSMEs and Startups,Others,,,,None,deconsole20@gmail.com,8034804304,,,,,"Road 4, Port harcourt"
BizAfric Digital Media And Branding,Abuja,Technology,MSMEs and Startups,Others,,,,www.bizafricdigital.com,bizafricdigital@gmail.com,7058083598,www.facebook.com/bizafricdigital,www.instagram.com/bizafricdigital,www.linkedin.com/company/bizafricdigital,www.twitter.com/bizafricdigital,"Olusegun Obasanjo Road, Gbuduwyi, Abuja Municipal Area Council"
Exsuntra Solutions LTD,Rivers,Others,MSMEs and Startups,Others,,,,www.exsuntrasolutions.com,n.richards@exsuntrasolutions.com,7030176676,https://facebook.com/exsuntra,https://instagram.com/exsuntra,,https://twitter.com/exsuntra,
Fiimast Digital,Kaduna,Technology,MSMEs and Startups,Others,,Male,Fii Stephen Michael,https://fiimast.com.ng,hello@fiimast.com.ng,8102945338,https://facebook.com/fiimastdigital,https://instagram.com/fiimastdigital,https://linkedin.com/in/fiistephenmichael/,https://twitter.com/fiimastdigital,"220 legacy plaza, Yakowa way, Kamazou."
Beckfix appliance and repair Limited,LAGOS,Manufacturing,MSMEs and Startups,Others,,Male,Beckley Olatunde,Beckfix.com.ng,beckfixlimited@gmail.com,2348138602446,beckfixrepairs,beckfixŕepairs,,,"39,college road,Haruna bus stop,ogba"
Achikef clothes,Kaduna State,Creatives,MSMEs and Startups,Others,,Male,,Achikef. Kadstep. Kd,achisonc@gmail.com,8024949893,achisonkefas,@Achikef,Achisonkefas,@achisonc,"POWA Complex, kakuri kaduna"
Dahyorpadimi,Lagos,Manufacturing,MSMEs and Startups,Others,,Male,Ogunbowale Adedayo,None,dayopadimi@gmail.com,8144220206,,,,,"Block H6 Binukonu ultra modern market, Ogudu road, Ojota"
Ideal Abode Estate Management,Edo,Creatives,MSMEs and Startups,Others,,Male,Joshua Kayode,https://g.page/IdealAbode,idealabodeng@gmail.com,2348079430521,fb.com/idealabodeng,instagram.com/idealabodeng,,twitter.com/idealabodeng,"270A  Ugbowo Lagos Express Way, Adolor junction, Ugbowo, Benin city."
CITILITE MEDIA SOLUTIONS,Edo State,Technology,MSMEs and Startups,Others,,Male,AGBOOLA OLALEKAN DAVID,"www,citilitemedia.com.ng",admin@citilitemedia.com.ng,8132563896,facebook.com/citilitemedia,instagram.com/citilitemedia,,twitter.com/citilitemedia,"19 Street, BDPA Estate"
iyby's Spot,Kaduna,Manufacturing,MSMEs and Startups,Others,,Male,Mohammed Aminu IBRAHIM,https://iybysspot.business.site/,iybysspot@gmail.com,8032845298,@iybys,@iybysspot,,@iybysspot,Shop No 14 & 15 opposite hostel 1 & 2 Ahmadu Bello University Kongo Campus Zaria
Entertainment,Lagos,Creatives,MSMEs and Startups,Others,,Female,Victory Ezewele,http://www.vickyharmonypro.com.ng,Victorycharis@gmail.com,7060552248,https://www.facebook.com/Vicky-Harmony,http://www.instagram.com/vickyharmonyprofilmmaker,http://www.linkedin.com/vickyharmony,http://www.twitter.com/@vickyharmony1,"21, Obalenmisoro Off Mobil Road Ajah, Lagos"
8ytman Network,Lagos,Creatives,MSMEs and Startups,Others,,Male,Shammah Buwanhot,No website,8ytmannetwork@gmail.com,8035768150,https://web.facebook.com/8ytmannetwork,https://www.instagram.com/8ytmannetwork/,https://www.linkedin.com/company/8ytmannetwork/?viewAsMember=true,https://twitter.com/8ytmannetwork,"Simpson street, Adekunle"
The Inedge Company,Lagos,Technology,MSMEs and Startups,Others,,Male,Isaac Akinpelu,theinedgecompany.com,inedgeltd@gmail.com,8067685135,,@theinedgecompany,,,"37, Adedoyin Street, Ogba-Ikeja, Lagos"
Mavigas Enterprise,Rivers,Agribusiness,MSMEs and Startups,Others,,Male,Baadom Tunebari,www.mavigas.com.ng,info@mavigas.com.ng,2348068578843,,,,,"111 Ogbunabali Road, Ogbunabali Port Harcourt"
Longevity Concepts And Consults,Rivers state,Technology,MSMEs and Startups,Others,,Male,Gilbert Baribuma Letom,Nil,letomgilbert@gmail.com,7035552373,Facebook.comm/longevityconcepts,,,,No. 31 kibangha market Rd Nordee's Compound Gokana LGA
Different Architecture and Development,Lagos,Creatives,MSMEs and Startups,Others,,Male,Okome Tesiro,www.dadbuilding.com,Tesiro@dadbuilding.com,8030950331,Facebook.com/dadbuilding,Instagram.com/dad_designbuild,http://linkedin.com/company/dadbuilding,,"9/11, Road 2, Lekki Atlantic Gardens Estate, Ajah"
Qordinates Mobile Car Wash Services,Edo,Creatives,MSMEs and Startups,Others,,Male,,www.qordinatesmobile.com,qordinates@gmail.com,8150508001,https://www.facebook.com/QordinatesMobile/,http://Instagram.com/qordinatesmobile,https://www.linkedin.com/in/osagie-samuel-ehizojie-qordinates-78712718a,https://twitter.com/Qordinatez,"Omonkhalen Street Off FGGC Road Osasogie Stores, Ugbowo Benin City."
Bntz Kasualz,Kaduna State,Creatives,MSMEs and Startups,Others,,Female,,www.bntzkasualz.ng,Info@bntzkasualz.ng,7014462090,,,,,"M15 Commissioner Road,  Ungwan Dosa, Kaduna"
Famatrix Agro Allied and Technology Company,Kaduna,Agribusiness,MSMEs and Startups,Others,,Female,Nyifamu Manzo,farmatrix.com.ng,farmatrixng@gmail.com,2348036421514,,,,,"C20 Tamanyi Manzo Street, Ungwan Sauri. Kaduna"
Famzfarm Service,Kaduna,Agribusiness,MSMEs and Startups,Others,,Female,Nyifamu Manzo,Nil,famzfarms@gmail.com,2348036421514,,,,,"C20bTamanyi Manzo Street, Ungwan Sauri. Kaduna"
Tenderfoot travel,Kaduna,Creatives,MSMEs and Startups,Others,,Male,Ben Silas,Donthaveawebsites.com,Tenderfoottravel@gmail.com,8062992889,@tenderfoottrav,@tenderfoottrav,,@tenderfoottrav,1 ishaku yari  close u/boro kaduna
GerryBlinqz Consultancy,Edo,Creatives,MSMEs and Startups,Others,,Male,Gerald Igwe,Nil.com,igwegerald@gmail.com,7069611075,https://www.facebook.com/pg/gerryblinqzconsultancy/posts/,,,,"18, konkord road off college road,off Ekewan road, Benin City"
07 FOODS,LAGOS,Agribusiness,MSMEs and Startups,Others,,Female,OLADEPO ELIZABETH,www.07foods.com,07foods@gmail.com,9014451337,https://web.facebook.com/07foodsnigeria,https://www.instagram.com/07foods/,https://www.linkedin.com/company/07foods,https://www.twitter.com/07foods/,5 ALADE OLANREWAJU STREET MEIRAN
Ecotutu,Lagos,Agribusiness,MSMEs and Startups,Others,,Male,Babajide Oluwase,www.ecotutu.com,info@ecotutu.com,8028117382,Facebook.com/ecotutu,Instagram.com/ecotutultd,LinkedIn.com/company/ecotutu,Twitter.com/ecotutu,"324 Adeyemo Akapo Street, Omole Phase 1"
Aga's Wholesome Foods Limited,Lagos,Manufacturing,MSMEs and Startups,Others,,Female,Oluebube Akah,www.agaswholesome.com,agaswholesome@gmail.com,0812 764 4815,www.facebook.com/agaswholesome,www.instagram.com/agas_wholesome,,,"13 Church Street, off Hospital Road, Gbagada, Lagos"
IrriTech Nigeria Limited,Lagos,Agribusiness,MSMEs and Startups,Others,,Male,Kenneth Okonkwo,www.irritechng.com,info@irritechng.com,8064246264,Facebook.com/IrriTechng,Instagram.com/IrriTech_ng,LinkedIn.com/in/IrriTech-Nigeria-Limited,Twitter.com/IrriTechng,"4, Office Street Maza-maza Amuwo Odofin Lagos"
SALUBATA,Lagos,Manufacturing,MSMEs and Startups,Others,,Male,Fela Akinse,www.salubataofficial.com,Salubatainc@gmail.com,2347062230959,,https://www.instagram.com/salubata/?hl=en,,,"Workstation, Maryland Mall"
Quadloop,Lagos,Manufacturing,MSMEs and Startups,Others,,Male,Dozie Igweilo,Https://www.quadloop.co,Info@quadloop.co,2348029463826,www.facebook.com/quadloopcreations,@quadloopcreate,https://www.linkedin.com/in/dozie-igweilo-4b39b2101,@quadloop_create,12B Showande street omole phase II
Alt Foods Industry Nigeria Limited,Lagos,Agribusiness,MSMEs and Startups,Others,,Female,Pascaline Opeodu,None,altfoods1@gmail.com,8101847771,https://www.facebook.com/altfoods/,https://instagram.com/altfood_?igshid=bhamo6rpndmn,,,"27, Adebayo Street, Omo onile, Obawole, Iju-Ishaga"
Orange Strategy Ltd,Lagos,Manufacturing,MSMEs and Startups,Others,,Female,Titilayo Falaiye,www.orange-strategy.com,orangestrategy02@gmail.com,8032124211,,@orangestrategywasterecyclers,,,"8 Oladoyinbo Street, Aguda Ogba, Lagos"
Greenhill Recycling,Lagos State,Manufacturing,MSMEs and Startups,Others,,Male,Mariam Lawani,www.ghrng.com,info@ghrng.com,8121100433,www.facebook.com/greenhillrecycling,www.instagram.com/greenhillrecycling,,www.twitter.com/greenhillrecycling,"6 PFN close, off Osolo way, Isolo"
Pacesetters Edu Services,Lagos,Education,MSMEs and Startups,Others,,Female,,www.phonicsanddiction.com.ng,info@phonicsanddiction.com.ng,7066882674,https://www.facebook.com/pacesetter.balogun,https://www.instagram.com/pacesettersphonics_diction,Profile | LinkedIn https://www.linkedin.com/mwlite/in/alimat-tijani-2482619a,https://twitter.com/PesPpdi?s=20,"1, Orelope House, Adurayemi Bus Stop, AIT Road, Alagbado, Lagos."
